timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1554948008.82086,,,,
1554948008.85601,,,,
1554948008.89116,,,,
1554948008.92631,,,,
1554948008.94909,,,,
1554948008.95341,,,,
1554948008.95366,,,,
1554948008.96145,,,,
1554948008.98687,775.2380981,32.63736343,795.7875366,841.3186646
1554948008.99077,780.8791504,28.60805893,963.0036621,975.0915527
1554948008.99467,766.3735962,25.78754616,878.7911987,881.2088013
1554948008.99660,,,,
1554948008.99856,772.0146484,24.98168564,684.1758423,734.9450684
1554948009.00246,761.9414063,25.38461494,694.6520386,799.8168335
1554948009.00636,762.3442993,25.78754616,868.7179565,967.8388062
1554948009.01026,770.8058472,27.80219841,894.1025391,936.4102783
1554948009.01416,758.3150024,26.19047546,708.7545776,765.567749
1554948009.01806,765.164856,24.98168564,670.4761963,777.2527466
1554948009.02196,774.432251,23.77289391,765.9707031,945.6776733
1554948009.02237,,,,
1554948009.02586,769.1941528,39.89011002,895.7142944,970.6593628
1554948009.02922,,,,
1554948009.02975,756.300354,38.68132019,857.4359131,811.098877
1554948009.03175,,,,
1554948009.03365,754.2857056,20.95238113,712.3809814,751.868103
1554948009.03755,771.6116943,22.96703339,837.6923218,905.7875366
1554948009.04145,759.9267578,130.5494537,984.7619019,1002.893799
1554948009.04177,,,,
1554948009.04535,741.3919678,104.7619019,862.2710571,873.5531006
1554948009.04757,,,,
1554948009.04757,,,,
1554948009.04775,,,,
1554948009.04778,,,,
1554948009.04780,,,,
1554948009.04782,,,,
1554948009.04783,,,,
1554948009.04785,,,,
1554948009.04786,,,,
1554948009.04788,,,,
1554948009.04790,,,,
1554948009.04791,,,,
1554948009.04793,,,,
1554948009.04793,,,,
1554948009.04794,,,,
1554948009.04795,,,,
1554948009.04796,,,,
1554948009.04798,,,,
1554948009.04859,,,,
1554948009.04925,762.3442993,18.13186836,608.4249268,765.164856
1554948009.05315,756.7033081,5.238095284,632.600708,871.5384521
1554948009.05705,742.1978149,160.7692261,952.5274658,1009.743591
1554948009.06094,756.7033081,229.267395,959.7802124,944.4688721
1554948009.06116,,,,
1554948009.06484,776.4468994,39.08424759,684.9816895,786.5201416
1554948009.06690,,,,
1554948009.06797,,,,
1554948009.06874,786.5201416,7.252747059,669.6703491,820.366272
1554948009.07264,786.1171875,106.7765579,857.032959,983.5531006
1554948009.07654,788.53479,220,919.0842285,963.8095093
1554948009.08044,806.2637329,96.30036926,626.9597168,784.1025391
1554948009.08055,,,,
1554948009.08434,799.8168335,0,485.5311279,751.0622559
1554948009.08734,,,,
1554948009.08824,772.8204956,266.3370056,911.0256348,902.5640869
1554948009.09214,794.9816895,533.0769043,1104.029297,963.0036621
1554948009.09603,801.8314819,325.1648254,840.5128174,808.2783813
1554948009.09993,772.0146484,22.56410217,613.6630249,712.7838745
1554948009.09994,,,,
1554948009.10204,,,,
1554948009.10383,779.6703491,227.2527466,822.7838745,839.3040161
1554948009.10671,,,,
1554948009.10773,784.5054932,610.4395752,1076.227051,954.1392212
1554948009.11163,790.5494385,310.2564087,786.1171875,827.6190186
1554948009.11553,792.1611938,26.59340668,627.765564,676.5201416
1554948009.11934,,,,
1554948009.11943,788.9377441,250.6227112,858.2417603,776.4468994
1554948009.12333,789.7435913,532.6740112,1056.483521,941.2454224
1554948009.12608,,,,
1554948009.12722,782.0878906,547.9853516,997.6557007,882.4176025
1554948009.13112,795.3846436,159.5604401,672.8937988,717.2161255
1554948009.13502,797.399292,78.97435761,689.4139404,745.0183105
1554948009.13719,,,,
1554948009.13873,,,,
1554948009.13892,796.1904907,301.3919373,891.6849976,921.9047852
1554948009.14282,790.1465454,261.0989075,832.8571167,922.3076782
1554948009.14545,,,,
1554948009.14672,790.9523926,102.7472534,652.3442993,750.6593628
1554948009.14893,,,,
1554948009.14893,,,,
1554948009.14910,,,,
1554948009.14914,,,,
1554948009.14915,,,,
1554948009.14917,,,,
1554948009.14919,,,,
1554948009.14920,,,,
1554948009.14922,,,,
1554948009.14923,,,,
1554948009.14925,,,,
1554948009.14927,,,,
1554948009.14928,,,,
1554948009.14929,,,,
1554948009.14929,,,,
1554948009.14930,,,,
1554948009.14931,,,,
1554948009.14933,,,,
1554948009.15062,788.53479,0,562.0878906,725.2747192
1554948009.15452,759.9267578,131.3553162,805.4578857,890.4761963
1554948009.15812,,,,
1554948009.15841,763.5531006,296.1538391,976.7033081,961.7948608
1554948009.16231,780.0732422,134.9816895,787.3259888,819.9633789
1554948009.16482,,,,
1554948009.16621,781.6849976,12.49084282,640.2564087,720.8424683
1554948009.17011,786.5201416,22.56410217,668.0585938,843.7362671
1554948009.17234,,,,
1554948009.17401,782.8937988,65.67765808,842.9304199,964.2124634
1554948009.17751,,,,
1554948009.17791,772.8204956,74.9450531,876.3735962,860.2564087
1554948009.18181,776.8497925,20.14652061,630.9890137,727.2893677
1554948009.18420,,,,
1554948009.18571,792.967041,25.38461494,731.3186646,807.0695801
1554948009.18961,788.9377441,26.19047546,925.934082,975.0915527
1554948009.19350,772.4176025,24.57875443,826.4102783,929.1575317
1554948009.19691,,,,
1554948009.19740,786.1171875,29.41391945,595.934082,753.0769043
1554948009.20130,802.234436,13.6996336,493.1867981,770.4029541
1554948009.20357,,,,
1554948009.20520,794.9816895,73.33333588,770.4029541,927.9487305
1554948009.20749,,,,
1554948009.20910,795.3846436,99.12088013,976.300354,948.901123
1554948009.21300,811.5018311,26.99633789,724.065918,797.399292
1554948009.21630,,,,
1554948009.21690,796.9963379,18.13186836,618.901123,741.7948608
1554948009.22080,796.5933838,42.71062088,816.7399292,897.3259888
1554948009.22294,,,,
1554948009.22469,796.1904907,144.6520081,1001.684998,981.5384521
1554948009.22859,788.131897,99.52381134,794.9816895,843.7362671
1554948009.23249,780.8791504,12.89377308,596.3369751,730.9157715
1554948009.23569,,,,
1554948009.23639,777.2527466,35.0549469,784.5054932,844.9450684
1554948009.24029,784.5054932,101.5384598,923.5164795,987.1795044
1554948009.24231,,,,
1554948009.24263,,,,
1554948009.24419,778.0585938,111.6117249,844.5421143,892.8937988
1554948009.24809,783.2966919,26.59340668,629.3773193,743.4066162
1554948009.25028,,,,
1554948009.25028,,,,
1554948009.25045,,,,
1554948009.25049,,,,
1554948009.25050,,,,
1554948009.25052,,,,
1554948009.25054,,,,
1554948009.25056,,,,
1554948009.25057,,,,
1554948009.25058,,,,
1554948009.25060,,,,
1554948009.25062,,,,
1554948009.25063,,,,
1554948009.25064,,,,
1554948009.25065,,,,
1554948009.25065,,,,
1554948009.25066,,,,
1554948009.25068,,,,
1554948009.25199,782.0878906,18.13186836,693.0402832,809.0842285
1554948009.25509,,,,
1554948009.25588,784.5054932,249.4139252,999.6703491,975.8974609
1554948009.25978,790.9523926,247.3992615,891.2820435,955.3479614
1554948009.26168,,,,
1554948009.26368,786.5201416,13.6996336,547.9853516,764.7619019
1554948009.26758,771.6116943,18.53479767,677.3259888,759.5238037
1554948009.27148,765.567749,227.2527466,1010.952393,966.6300659
1554948009.27448,,,,
1554948009.27538,774.0292969,435.1648254,1081.46521,1009.743591
1554948009.27778,,,,
1554948009.27928,769.5970459,222.4175873,845.3479614,832.8571167
1554948009.28105,,,,
1554948009.28318,767.9853516,12.08791256,662.8204956,757.9121094
1554948009.28708,777.2527466,34.24908447,753.0769043,906.1904907
1554948009.29097,772.8204956,47.54578781,814.7252808,1004.908447
1554948009.29387,,,,
1554948009.29487,763.9560547,26.19047546,750.2564087,867.5091553
1554948009.29877,770,26.19047546,691.8314819,752.2710571
1554948009.30043,,,,
1554948009.30267,764.7619019,19.3406601,767.1795044,863.0769043
1554948009.30657,757.1062012,49.15750885,965.8241577,1003.296692
1554948009.31047,762.3442993,66.88644409,904.5787354,930.7692261
1554948009.31293,,,,
1554948009.31326,,,,
1554948009.31437,776.0439453,23.77289391,683.3699341,770.4029541
1554948009.31827,790.9523926,23.77289391,659.5970459,819.1575317
1554948009.31980,,,,
1554948009.32216,799.0109863,26.99633789,832.8571167,979.5238037
1554948009.32606,791.7582397,27.80219841,966.6300659,952.5274658
1554948009.32996,784.9084473,25.78754616,736.5567627,791.3552856
1554948009.33266,,,,
1554948009.33386,780.4761963,24.98168564,593.9194336,774.0292969
1554948009.33776,778.4615479,25.38461494,869.1208496,927.1428833
1554948009.33917,,,,
1554948009.34166,782.4908447,24.98168564,998.8644409,978.3150024
1554948009.34556,782.4908447,25.38461494,775.6410522,825.2014771
1554948009.34808,,,,
1554948009.34946,796.1904907,25.38461494,512.9304199,744.2124634
1554948009.35163,,,,
1554948009.35163,,,,
1554948009.35181,,,,
1554948009.35184,,,,
1554948009.35186,,,,
1554948009.35187,,,,
1554948009.35189,,,,
1554948009.35191,,,,
1554948009.35192,,,,
1554948009.35194,,,,
1554948009.35196,,,,
1554948009.35197,,,,
1554948009.35198,,,,
1554948009.35199,,,,
1554948009.35200,,,,
1554948009.35201,,,,
1554948009.35201,,,,
1554948009.35204,,,,
1554948009.35205,,,,
1554948009.35335,799.4139404,25.38461494,654.7619019,876.7765503
1554948009.35725,786.1171875,25.38461494,1005.31134,986.7765503
1554948009.35854,,,,
1554948009.36115,792.1611938,25.38461494,883.6264038,877.5823975
1554948009.36505,791.7582397,25.38461494,580.6226807,745.0183105
1554948009.36895,787.7289429,25.38461494,703.5164795,838.0952148
1554948009.37144,,,,
1554948009.37285,786.1171875,25.38461494,970.6593628,999.6703491
1554948009.37675,770,24.98168564,892.0878906,940.0366211
1554948009.37791,,,,
1554948009.38065,765.164856,26.19047546,479.084259,770.4029541
1554948009.38322,,,,
1554948009.38455,767.5823975,22.96703339,419.8534851,784.5054932
1554948009.38844,764.3589478,31.83150101,889.267395,963.0036621
1554948009.39083,,,,
1554948009.39234,782.4908447,38.27838898,944.8717651,986.3735962
1554948009.39624,787.3259888,24.98168564,663.6264038,820.366272
1554948009.39728,,,,
1554948009.40014,771.6116943,24.98168564,559.267395,783.2966919
1554948009.40404,765.567749,25.78754616,787.7289429,935.6043701
1554948009.40794,778.4615479,25.38461494,905.3846436,1001.684998
1554948009.41023,,,,
1554948009.41184,780.0732422,25.38461494,680.9523926,850.9890137
1554948009.41574,790.9523926,25.38461494,556.8497925,749.0476074
1554948009.41666,,,,
1554948009.41837,,,,
1554948009.41963,804.6520386,25.38461494,726.0805664,879.5970459
1554948009.42353,788.131897,25.38461494,919.0842285,1013.772888
1554948009.42743,783.699646,25.38461494,744.6153564,914.6520386
1554948009.42962,,,,
1554948009.43133,802.234436,25.38461494,483.9194031,769.1941528
1554948009.43523,809.4871826,25.38461494,542.3442993,845.7509155
1554948009.43603,,,,
1554948009.43913,812.3076782,25.38461494,630.9890137,1005.31134
1554948009.44303,822.7838745,25.38461494,468.6080627,956.5567627
1554948009.44693,821.5750732,25.38461494,361.8315125,778.8644409
1554948009.44901,,,,
1554948009.45083,815.5311279,25.38461494,460.5494385,797.399292
1554948009.45299,,,,
1554948009.45299,,,,
1554948009.45316,,,,
1554948009.45319,,,,
1554948009.45321,,,,
1554948009.45323,,,,
1554948009.45325,,,,
1554948009.45326,,,,
1554948009.45327,,,,
1554948009.45329,,,,
1554948009.45331,,,,
1554948009.45332,,,,
1554948009.45334,,,,
1554948009.45334,,,,
1554948009.45335,,,,
1554948009.45336,,,,
1554948009.45337,,,,
1554948009.45339,,,,
1554948009.45352,,,,
1554948009.45472,809.4871826,25.38461494,728.901123,969.8534546
1554948009.45540,,,,
1554948009.45862,826.4102783,25.38461494,871.9414063,993.6264038
1554948009.46252,834.8717651,25.38461494,672.0878906,833.2600708
1554948009.46642,821.5750732,25.38461494,559.6703491,771.2088013
1554948009.46840,,,,
1554948009.47032,820.7692261,25.38461494,697.8754883,914.6520386
1554948009.47422,811.9047852,25.38461494,806.2637329,997.2527466
1554948009.47477,,,,
1554948009.47812,795.7875366,24.98168564,714.3956299,856.2271118
1554948009.48202,794.5787354,25.38461494,544.7619019,740.9890137
1554948009.48591,790.9523926,25.38461494,698.2783813,851.3919678
